id,low,high,open,close,amount,quantity,buytakeramount,buytakerquantity,tradecount,ts,weightedaverage,interval_type,starttime,closetime,dt_create_utc,ts_create_utc,ts_insert_utc,year,month,day,hour
BTC_USDT,45243.29,45283.66,45283.66,45247.04,104486.07,2.308589,41938.06,0.926558,84,0,45259.71,MINUTE_1,1704170280,1704170339,2024-01-02,2024-01-02 04:38:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45201.3,45246.43,45244.7,45206.35,102261.54,2.261683,49421.38,1.093092,77,0,45214.8,MINUTE_1,1704170340,1704170399,2024-01-02,2024-01-02 04:39:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45199.83,45208.55,45205.8,45204.89,96191.45,2.127936,37403.78,0.827439,75,0,45204.11,MINUTE_1,1704170400,1704170459,2024-01-02,2024-01-02 04:40:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45202.79,45233.08,45205.03,45233.08,94506.31,2.090599,42666.98,0.943829,79,0,45205.37,MINUTE_1,1704170460,1704170519,2024-01-02,2024-01-02 04:41:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45224.42,45238.32,45233.93,45227.37,85366.95,1.887444,33012.72,0.729893,70,0,45228.86,MINUTE_1,1704170520,1704170579,2024-01-02,2024-01-02 04:42:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45208,45232.87,45231.54,45221.3,100471.16,2.221655,48884.45,1.080946,92,0,45223.56,MINUTE_1,1704170580,1704170639,2024-01-02,2024-01-02 04:43:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45200.77,45225.39,45217.96,45214.13,92057.36,2.036021,47529.84,1.051217,76,0,45214.34,MINUTE_1,1704170640,1704170699,2024-01-02,2024-01-02 04:44:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45199.86,45218.67,45212.22,45206.23,90700.12,2.006327,56708.96,1.254423,75,0,45207.05,MINUTE_1,1704170700,1704170759,2024-01-02,2024-01-02 04:45:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45202.63,45212,45206.13,45210.99,98703.53,2.183397,42349.47,0.9368,79,0,45206.4,MINUTE_1,1704170760,1704170819,2024-01-02,2024-01-02 04:46:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45201.97,45211.99,45210.41,45201.97,75281.58,1.665244,41534.96,0.918764,62,0,45207.53,MINUTE_1,1704170820,1704170879,2024-01-02,2024-01-02 04:47:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45201.91,45211.9,45202.96,45211.9,79916.18,1.767788,44761.27,0.99013,83,0,45206.88,MINUTE_1,1704170880,1704170939,2024-01-02,2024-01-02 04:48:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45200.22,45211.99,45211.99,45207.71,61397.87,1.358121,31390.92,0.694369,59,0,45207.95,MINUTE_1,1704170940,1704170999,2024-01-02,2024-01-02 04:49:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45203.34,45209.79,45207.83,45209.66,74287.1,1.64322,41819.33,0.925037,70,0,45208.25,MINUTE_1,1704171000,1704171059,2024-01-02,2024-01-02 04:50:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45181.49,45211.73,45203.3,45195.05,72416.71,1.602021,36842.04,0.815003,92,0,45203.35,MINUTE_1,1704171060,1704171119,2024-01-02,2024-01-02 04:51:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45194.66,45210.77,45194.87,45197.36,72149.05,1.596181,38923.09,0.861121,61,0,45201.04,MINUTE_1,1704171120,1704171179,2024-01-02,2024-01-02 04:52:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45195.68,45209.78,45197.64,45206.78,85728.83,1.896413,43497.15,0.962197,78,0,45205.78,MINUTE_1,1704171180,1704171239,2024-01-02,2024-01-02 04:53:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45183.49,45206.71,45206.71,45191.83,81207.9,1.79679,44018.51,0.973931,78,0,45196.1,MINUTE_1,1704171240,1704171299,2024-01-02,2024-01-02 04:54:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45181.54,45198.19,45191.17,45181.54,79871.3,1.76747,33955.24,0.751393,66,0,45189.62,MINUTE_1,1704171300,1704171359,2024-01-02,2024-01-02 04:55:59.999,2024-01-09 01:44:20.000,2024,1,2,4
